latitude,longitude,city
51.39742,-0.07501,Croydon
51.47322,-0.09055,Camberwell
51.48369,0.03521,Greenwich
51.48118,-0.02828,Lewisham
51.44465,0.05651,Eltham
51.35984,-0.14267,Sutton
51.4496,-0.18941,Wandsworth
51.41058,-0.22547,Merton
51.46907,-0.11232,Lambeth
51.53911,-0.34306,Southall
51.53458,-0.473,Hillingdon
51.49118,-0.26268,Hounslow
51.49246,-0.22805,Hammersmith
51.5111,-0.33398,Ealing
51.50003,-0.19317,Kensington
51.52607,-0.1907,Paddington
51.51339,-0.12778,Camden Town
53.52143,-2.21269,Manchester
53.36309,-2.27653,Ringway
53.37189,-2.74107,Runcorn
50.84377,-1.78551,Ringwood
50.75173,-1.65692,New Milton
51.24841,-0.76194,Aldershot
51.29246,-0.76075,Farnborough
51.32959,-0.78559,Blackwater and Hawley
51.07435,-0.80228,Liphook
50.9962,-0.90263,Petersfield
51.00849,-0.96934,Stroud
51.04915,-0.89139,Liss
51.13902,-0.98359,Alton
51.11617,-0.84692,Lindford
51.3372,-0.82559,Yateley
50.7918,-0.97553,South Hayling
50.81229,-1.17808,Gosport
50.88957,-1.16819,Wickham
50.88227,-1.03753,Southwick
50.91084,-1.01275,Horndean
50.86291,-0.9825,Havant
51.28094,-1.0708,Basingstoke
51.22767,-1.16211,Dummer
51.34966,-1.11824,Pamber
51.29963,-0.94132,Hook
51.23327,-1.33391,Whitchurch
51.24751,-0.94538,Odiham
51.11361,-1.50422,Longstock
51.06765,-1.30774,Winchester
51.08367,-1.14615,Bishops Sutton
50.91924,-1.30568,Hedge End
50.86882,-1.29506,Locks Heath
50.9474,-1.20845,Bishops Waltham
50.91484,-1.50065,Totton
50.75502,-1.56473,Lymington
50.80976,-1.53442,Denny Lodge
50.88729,-1.58341,Lyndhurst
50.994,-1.50407,Romsey
50.97663,-1.44015,North Baddesley
50.98442,-1.38022,Eastleigh
51.21065,-1.48314,Andover
51.22696,-1.51303,Charlton
50.93553,-1.80074,Fordingbridge
51.23018,-1.66053,South Tidworth
51.72064,-0.33353,St Albans
51.77781,-0.37057,Redbourn
51.77133,-0.29398,Sandridge
51.81622,-0.35177,Harpenden
51.83104,-0.19737,Welwyn
51.80334,-0.20863,Welwyn Garden City
51.74472,-0.19791,Hatfield
51.81177,0.14718,Sawbridgeworth
51.87178,0.16021,Bishops Stortford
51.76502,-0.00723,Hoddesdon
51.69799,-0.03189,Broxbourne
51.79496,-0.66001,Tring
51.73689,-0.47054,Hemel Hempstead
51.76688,-0.56663,Berkhamsted
51.8446,0.07178,Much Hadham
51.88125,0.03278,Standon
51.81375,-0.01669,Ware
51.8962,-0.16569,Stevenage
51.86046,-0.18022,Knebworth
51.921,-0.25922,Ippollitts
51.96727,-0.28654,Ickleford
51.97888,-0.22057,Hitchin
52.00335,-0.17443,Bygrave
51.9458,-0.00796,Buntingford
51.6315,-0.39027,Watford Rural
51.64554,-0.3652,Potters Bar
51.68363,-0.38842,Watford
51.6453,-0.48085,Chorleywood
51.70882,-0.45556,Kings Langley
51.7047,-0.41662,Abbots Langley
51.65684,-0.27514,Borehamwood
51.68611,-0.30876,Radlett
50.75286,-1.30531,Cowes
50.71557,-1.11178,Nettlestone
50.68657,-1.08401,Bembridge
50.65748,-1.1624,Sandown
50.63151,-1.177,Shanklin
50.60406,-1.24108,Ventnor
50.68027,-1.53853,Totland
50.68199,-1.52011,Freshwater
50.69979,-1.47744,Yarmouth
49.96401,-6.29276,Isles of Scilly
51.39751,0.1766,Swanley
51.36208,1.43073,Broadstairs
51.34216,1.37322,Manston
51.26692,1.33042,Sandwich
51.17109,1.28343,Whitfield
51.12845,1.29613,Dover
51.11447,1.15078,Hawkinge
51.07899,1.16551,Folkestone
51.07233,1.07795,Hythe
51.27743,1.21213,Wingham
51.22462,1.06805,Lower Hardres
51.3642,1.13054,Canterbury
51.37122,1.30062,Birchington
51.38304,1.3906,Margate
51.44637,0.20915,Dartford
51.44445,0.30837,Swanscombe
51.42757,0.38809,Gravesend
51.38235,0.35555,Meopham Station
51.4315,0.23433,Darenth
51.38417,0.30965,Hartley
51.39106,0.23236,Horton Kirby
51.41247,0.74833,Queenborough
51.30275,0.89675,Faversham
51.27414,0.49915,Maidstone
51.23484,0.61021,Leeds
51.24426,0.42301,West Farleigh
51.29307,0.41123,West Malling
51.30467,0.45919,Ditton
51.32662,0.4417,Snodland
51.33297,0.72491,Sittingbourne
51.17194,0.44067,Yalding
51.27593,0.18519,Sevenoaks
51.29525,0.16172,Dunton Green
51.29951,0.26953,Wrotham
51.0961,0.5381,Cranbrook
51.04328,0.52665,Four Throws
51.14917,0.88712,Ashford
51.14426,0.93972,Wye
51.09988,0.80547,Shadoxhurst
51.16519,0.70642,Smarden
50.98202,0.95226,New Romney
50.99327,0.93444,St Mary In The Marsh
51.06195,0.69753,Tenterden
51.1459,0.25912,Royal Tunbridge Wells
51.1942,0.07969,Edenbridge
51.19053,0.27705,Tonbridge
53.62404,-1.87601,Huddersfield
53.6012,-1.6796,Kirkburton
53.57988,-1.79457,Holme
53.68034,-1.69263,Mirfield
53.71885,-1.64082,Dewsbury
53.3641,-2.83262,Halewood
53.48965,-2.87577,Kirkby
53.41439,-2.83962,Hyton
53.78294,-2.25196,Burnley
53.80353,-2.29005,Ightenhill
53.91433,-2.17053,Salterforth
53.79238,-2.41598,Accrington
53.87338,-2.38636,Clitheroe
53.83695,-2.21429,Newchurch
53.91635,-3.02629,Hardhorn and Thornton
53.75026,-3.001,Lytham Saint Annes
53.60227,-2.84032,Burscough
54.06537,-2.6739,Caton
54.06964,-2.85125,Lancaster
54.14287,-2.78998,Warton
54.17537,-2.61134,Whittingham
53.70034,-2.20299,Rawtenstall
53.77753,-2.70722,Preston
53.68743,-2.74054,Leyland
53.86826,-2.71636,Claughton
53.75335,-2.83271,Freckleton
53.73107,-2.65641,Bamber Bridge
53.6448,-2.65205,Chorley
53.55242,-2.76838,Ormskirk
53.85958,-1.52709,Harewood
53.87365,-1.71251,Guiseley
53.91132,-1.67876,Otley
53.93179,-1.39375,Wetherby
53.90372,-1.35458,Boston Spa
53.78584,-1.33059,Micklefield
53.75227,-1.44791,Rothwell
53.74839,-1.60266,Gildersome
52.60942,-1.11531,Oadby
52.61217,-1.41362,Market Bosworth
52.84368,-1.32884,Lockington
52.76641,-1.19217,Loughborough
52.7838,-0.89527,Melton Mowbray
52.4669,-1.17706,Gilmorton
52.58332,-1.11141,Wigston
52.66244,-1.24141,Groby
52.74819,-1.4681,Ashby-de-la-Zouch
52.71619,-1.36041,Coalville
52.67739,-1.06808,Barkby
52.55264,-1.09728,Kilby
52.57012,-1.28728,Hinckley
53.51089,-0.03636,Tetney
53.56115,-0.39192,Bigby
53.25883,-0.58621,Burton
53.15858,-0.21703,Woodhall Spa
53.3732,0.02496,Louth
53.3293,0.2662,Mablethorpe
53.25429,-0.5084,Nettleham
53.24325,-0.41885,Fiskerton
53.15018,-0.38489,Dunston
53.17126,-0.55617,Waddington
53.20319,-0.59403,Lincoln
53.49216,-0.34327,Caistor
53.37321,-0.32384,Linwood
53.21719,-0.11124,Horncastle
52.9142,-0.6391,Grantham
52.94939,-0.64991,Great Gonerby
52.81819,-0.57829,Burton Coggles
52.98753,-0.39096,Sleaford
52.77693,-0.3765,Bourne
52.80714,-0.16616,Pinchbeck
52.78328,0.0286,Fleet
52.932,-0.10136,Swineshead
52.97477,-0.02203,Boston
53.04826,0.0455,Old Leake
53.17244,0.09181,Spilsby
53.16561,0.26804,Burgh Le Marsh
53.15261,0.33616,Skegness
52.65562,-0.25531,Deeping St James
52.65422,-0.48012,Stamford
53.49118,-3.02203,Crosby
53.37827,-2.86296,Garston
51.51145,-0.11921,Westminster
51.39136,0.4854,Strood
51.43322,0.54668,Hoo St Werburgh
51.34896,0.53338,Rochester
51.36102,0.5987,Gillingham
54.52141,-1.23054,Stainton
52.05741,-0.81555,Stony Stratford
52.05258,-0.78359,Bradwell
52.05955,-0.76152,Stantonbury
52.05739,-0.72802,Willen
52.08879,-0.72129,Newport Pagnell
51.99235,-0.70074,Bow Brickhill
51.99651,-0.75306,Bletchley
52.00397,-0.77762,Shenley Brook End
52.15411,-0.69165,Clifton Reynes
52.02021,-0.78301,Shenley Church End
52.02967,-0.74193,Woughton On The Green
52.01921,-0.68976,Walton
52.0357,-0.803,Bradwell Abbey
55.04642,-1.64469,Brunswick
54.99621,-1.68735,Newburn
54.99947,-1.57788,Byker
52.40601,1.3215,Harleston
52.41869,0.75903,Thetford
52.58588,0.83892,Ovington
52.50733,0.57739,Methwold
52.73642,1.24582,Hevingham
52.84173,1.27596,Erpingham
52.75971,1.47144,Smallburgh
52.63372,1.47327,Blofield
52.56445,1.3807,Alpington
52.50639,1.2701,Hempnall
52.476,1.06162,Old Buckenham
52.51544,0.99655,Attleborough
52.57095,1.11105,Wymondham
52.67542,0.92907,Scarning
52.72449,0.98124,Swanton Morley
52.84097,0.85257,Fakenham
52.89366,0.86793,Walsingham
52.94872,0.85966,Wells-next-the-Sea
52.85851,1.05135,Briston
52.91969,1.08541,Holt
52.93511,1.21602,Sheringham
52.92467,1.30157,Cromer
52.82203,1.40068,North Walsham
52.57614,1.71087,Great Yarmouth
52.66074,1.2831,Norwich
52.67798,1.21188,Taverham
52.63574,1.10973,Marlingford
52.63884,0.21112,Emneth
52.75978,0.41884,King's Lynn
52.87538,0.56647,Snettisham
52.73016,0.62756,West Acre
52.64814,0.46886,Shouldham
52.7245,0.33986,Wiggenhall St Germans
52.8253,0.51155,Sandringham
52.936,0.50754,Old Hunstanton
52.64414,0.69336,Swaffham
52.58977,0.37698,Denver
53.55494,-0.03583,Cleethorpes
53.54033,-0.13461,Bradley
53.6208,-0.22331,Immingham
53.58351,-0.19466,Stallingborough
53.5721,-0.70114,Burringham
53.68055,-0.44643,Barton-Upon-Humber
53.68387,-0.35847,Barrow-Upon-Humber
53.617,-0.33385,Ulceby
53.50661,-0.89316,Haxey
51.47916,-2.75176,Portbury
